Reference,Value,Footprint,Datasheet,Description,Qty,Part Number
"C1,C2,C5,C6,C7,C8,C9,C10,C16,C19,C22,C29,C30",0.1u,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,https://search.kemet.com/download/datasheet/C1206C104K4RAC7800,0.1 µF ±10% 16V Ceramic Capacitor X7R 1206 (3216 Metric),13,C1206C104K4RACTU
C3,1u,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM319R71A105KA01-01.pdf,1 µF ±10% 10V Ceramic Capacitor X7R 1206 (3216 Metric),1,GRM319R71A105KA01D
C4,1u,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM319R71C105KAA3-01.pdf,1 µF ±10% 16V Ceramic Capacitor X7R 1206 (3216 Metric),1,GRM319R71C105KAA3D
"C11,C12,C13",0.18u,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-250V_24.pdf,0.18 µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric),3,CC1206KKX7R9BB184
"C14,C17,C20",1n,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,https://www.yageo.com/en/Chart/Download/pdf/CC1206FRNPO9BN102,"1000 pF ±1% 50V Ceramic Capacitor C0G, NP0 1206 (3216 Metric)",3,CC1206FRNPO9BN102
"C15,C18,C21",2.2n,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,https://search.kemet.com/download/datasheet/C1206C222K4HACAUTO,Unpolarized capacitor,3,C1206C222K4HACAUTO
"C23,C24,C25",4.7n,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,https://www.we-online.com/components/products/datasheet/885012208025.pdf,4700 pF ±10% 16V Ceramic Capacitor X7R 1206 (3216 Metric),3,8.85012E+11
"C26,C27,C28",22p,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,https://search.kemet.com/download/datasheet/C1206C220F4HAC7800,22 pF ±1% 16V Ceramic Capacitor X8R 1206 (3216 Metric),3,C1206C220F4HACTU
"D1,D2",LTST-C150GKT,LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,https://optoelectronics.liteon.com/upload/download/DS-22-98-0004/LTST-C150GKT.pdf,Green 569nm LED Indication - Discrete 2.1V,2,LTST-C150GKT
"J1,J2,J3",Conn_01x01_Pin,Connector:Banana_Jack_1Pin,https://www.muellerelectric.com/product_files/986/DS-BU-P72930-@.pdf,"Banana Jack Connector Standard Banana Threaded, External (Nut) Red",3,BU-P72930-2
"J4,J7",1935174,1935174:CONN_1935174_PXC,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1123/1935174.pdf,"3 Position Wire to Board Terminal Block Horizontal with Board 0.197"" (5.00mm) Through Hole",2,1935174
"J5,J6",1984646,1984646:CONN_1984646_PXC,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2450/Combicon%20Compact%20Series.pdf,"5 Position Wire to Board Terminal Block Horizontal with Board 0.138"" (3.50mm) Through Hole",2,1984646
J8,6130XX21821_61304021821,61304021821:61304021821,https://www.we-online.com/components/products/datasheet/61304021821.pdf,"40 Position Receptacle Connector 0.100"" (2.54mm) Through Hole Gold",1,61304021821
R1,300R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,"300 Ohms ±1% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film",1,RMCF1206FT300R
R2,120R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,"120 Ohms ±1% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film",1,RMCF1206FT120R
"R3,R4,R29,R30",0,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,Resistor,4,RMCF1206ZT0R00
"R5,R8,R9,R12,R13,R16",1k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,https://www.seielect.com/catalog/sei-rncp.pdf,"1 kOhms ±1% 0.5W, 1/2W Chip Resistor 1206 (3216 Metric) Anti-Sulfur Thin Film",6,RNCP1206FTD1K00
"R6,R7,R10,R11,R14,R15",8.06k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,https://www.seielect.com/catalog/sei-rncp.pdf,"8.06 kOhms ±1% 0.5W, 1/2W Chip Resistor 1206 (3216 Metric) Anti-Sulfur Thin Film",6,RNCP1206FTD8K06
"R17,R19,R21,R23,R25,R27",10k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,https://www.seielect.com/catalog/sei-rncf.pdf,"10 kOhms ±0.5% 0.333W, 1/3W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thin Film",6,RNCF1206DTE10K0
"R18,R20,R22,R24,R26,R28",20k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,https://www.seielect.com/catalog/sei-rncf.pdf,"20 kOhms ±0.1% 0.333W, 1/3W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thin Film",6,RNCF1206BTE20K0
"U1,U2,U3",MCP602,Package_DIP:DIP-8_W7.62mm,http://ww1.microchip.com/downloads/en/DeviceDoc/21314g.pdf,"Dual 2.7V to 6.0V Single Supply CMOS Op Amps, DIP-8/SOIC-8/TSSOP-8",3,MCP602
"U4,U5,U6",MCP6022,Package_DIP:DIP-8_W7.62mm,http://ww1.microchip.com/downloads/en/devicedoc/20001685e.pdf,"Dual Operational Amplifiers, Rail-to-Rail Input/Output, DIP-8/SOIC-8/TSSOP-8",3,MCP6022
